dt,province,type,value
2025-01-01 00:00:00,广东,load,30765.07122951685
2025-01-01 00:15:00,广东,load,29812.603548243223
2025-01-01 00:30:00,广东,load,30991.532807151038
2025-01-01 00:45:00,广东,load,32304.544784612037
2025-01-01 01:00:00,广东,load,29668.769937914996
2025-01-01 01:15:00,广东,load,29668.79456457623
2025-01-01 01:30:00,广东,load,32388.81922326109
2025-01-01 01:45:00,广东,load,31171.152093729364
2025-01-01 02:00:00,广东,load,29315.78842109757
2025-01-01 02:15:00,广东,load,30833.840065378947
2025-01-01 02:30:00,广东,load,29324.873460781306
2025-01-01 02:45:00,广东,load,29321.405369644614
2025-01-01 03:00:00,广东,load,30382.943407349052
2025-01-01 03:15:00,广东,load,27150.0796330133
2025-01-01 03:30:00,广东,load,27432.623251230452
2025-01-01 03:45:00,广东,load,29176.56870613854
2025-01-01 04:00:00,广东,load,28500.753319498363
2025-01-01 04:15:00,广东,load,30491.37099889291
2025-01-01 04:30:00,广东,load,28657.963886718182
2025-01-01 04:45:00,广东,load,27901.54444799706
2025-01-01 05:00:00,广东,load,32218.473153382332
2025-01-01 05:15:00,广东,load,29681.335549270196
2025-01-01 05:30:00,广东,load,30121.292307031887
2025-01-01 05:45:00,广东,load,27882.877720679815
2025-01-01 06:00:00,广东,load,37203.425913212224
2025-01-01 06:15:00,广东,load,38186.3838845648
2025-01-01 06:30:00,广东,load,36293.509633866546
2025-01-01 06:45:00,广东,load,38583.54702751851
2025-01-01 07:00:00,广东,load,37119.04196512179
2025-01-01 07:15:00,广东,load,37582.459375310085
2025-01-01 07:30:00,广东,load,37117.44008165591
2025-01-01 07:45:00,广东,load,40798.41727676341
2025-01-01 08:00:00,广东,load,51999.7541628931
2025-01-01 08:15:00,广东,load,50433.43360656615
2025-01-01 08:30:00,广东,load,53253.817368154785
2025-01-01 08:45:00,广东,load,50188.73452504347
2025-01-01 09:00:00,广东,load,52333.295392507134
2025-01-01 09:15:00,广东,load,49080.49481418034
2025-01-01 09:30:00,广东,load,50027.72092665236
2025-01-01 09:45:00,广东,load,52315.29185380368
2025-01-01 10:00:00,广东,load,53127.699869993114
2025-01-01 10:15:00,广东,load,52277.05242178495
2025-01-01 10:30:00,广东,load,51846.52757641764
2025-01-01 10:45:00,广东,load,51568.34445661607
2025-01-01 11:00:00,广东,load,49802.21701444886
2025-01-01 11:15:00,广东,load,50940.233687407934
2025-01-01 11:30:00,广东,load,51329.04184356032
2025-01-01 11:45:00,广东,load,53605.683339328374
2025-01-01 12:00:00,广东,load,52535.42743435269
2025-01-01 12:15:00,广东,load,49375.4397669559
2025-01-01 12:30:00,广东,load,52506.12595409219
2025-01-01 12:45:00,广东,load,51442.37657937552
2025-01-01 13:00:00,广东,load,54004.61699954106
2025-01-01 13:15:00,广东,load,55937.514433261305
2025-01-01 13:30:00,广东,load,56566.49928374393
2025-01-01 13:45:00,广东,load,56416.9201786743
2025-01-01 14:00:00,广东,load,53761.17371516604
2025-01-01 14:15:00,广东,load,54556.18143622318
2025-01-01 14:30:00,广东,load,55516.895147105344
2025-01-01 14:45:00,广东,load,56483.317690683536
