dt,province,type,value
2025-01-01 00:00:00,广东,output,22910.2104323273
2025-01-01 00:15:00,广东,output,21350.873212877013
2025-01-01 00:30:00,广东,output,27117.177930142298
2025-01-01 00:45:00,广东,output,28161.495051503254
2025-01-01 01:00:00,广东,output,23162.826382008756
2025-01-01 01:15:00,广东,output,24936.005566399905
2025-01-01 01:30:00,广东,output,26280.715014110105
2025-01-01 01:45:00,广东,output,27137.331415330704
2025-01-01 02:00:00,广东,output,22368.274722238195
2025-01-01 02:15:00,广东,output,24813.054251409634
2025-01-01 02:30:00,广东,output,23374.108095933476
2025-01-01 02:45:00,广东,output,22600.386997622503
2025-01-01 03:00:00,广东,output,26685.066140466526
2025-01-01 03:15:00,广东,output,19905.775515898673
2025-01-01 03:30:00,广东,output,20023.11911201637
2025-01-01 03:45:00,广东,output,23790.04623321112
2025-01-01 04:00:00,广东,output,23698.343495207722
2025-01-01 04:15:00,广东,output,22530.801276652677
2025-01-01 04:30:00,广东,output,22300.00799071151
2025-01-01 04:45:00,广东,output,24813.199741145607
2025-01-01 05:00:00,广东,output,24142.058569790795
2025-01-01 05:15:00,广东,output,24744.502537987577
2025-01-01 05:30:00,广东,output,25543.755862609833
2025-01-01 05:45:00,广东,output,22017.037950538732
2025-01-01 06:00:00,广东,output,33018.233857272826
2025-01-01 06:15:00,广东,output,32356.520095638345
2025-01-01 06:30:00,广东,output,28729.394773859738
2025-01-01 06:45:00,广东,output,31401.877225692886
2025-01-01 07:00:00,广东,output,31125.158870006017
2025-01-01 07:15:00,广东,output,30758.91424240479
2025-01-01 07:30:00,广东,output,32505.20904067117
2025-01-01 07:45:00,广东,output,31470.990606746724
2025-01-01 08:00:00,广东,output,39518.624865996986
2025-01-01 08:15:00,广东,output,37460.32941176855
2025-01-01 08:30:00,广东,output,37680.0896138961
2025-01-01 08:45:00,广东,output,35563.87745535848
2025-01-01 09:00:00,广东,output,45739.87786050958
2025-01-01 09:15:00,广东,output,41015.52063075636
2025-01-01 09:30:00,广东,output,41628.390917149474
2025-01-01 09:45:00,广东,output,43051.74798934721
2025-01-01 10:00:00,广东,output,46212.80187762731
2025-01-01 10:15:00,广东,output,41615.32454514377
2025-01-01 10:30:00,广东,output,45318.12510862443
2025-01-01 10:45:00,广东,output,39805.03810430786
2025-01-01 11:00:00,广东,output,44091.96955811694
2025-01-01 11:15:00,广东,output,42776.11354772097
2025-01-01 11:30:00,广东,output,38570.46048573319
2025-01-01 11:45:00,广东,output,43571.60987523592
2025-01-01 12:00:00,广东,output,42375.39688071859
2025-01-01 12:15:00,广东,output,35924.57083012519
2025-01-01 12:30:00,广东,output,42963.063063625574
2025-01-01 12:45:00,广东,output,39248.32772496713
2025-01-01 13:00:00,广东,output,38368.64692006891
2025-01-01 13:15:00,广东,output,49769.353606065546
2025-01-01 13:30:00,广东,output,46853.922399061485
2025-01-01 13:45:00,广东,output,49386.457201577185
2025-01-01 14:00:00,广东,output,44901.93446595596
2025-01-01 14:15:00,广东,output,42084.46042099
2025-01-01 14:30:00,广东,output,44554.39659390377
2025-01-01 14:45:00,广东,output,47172.006172106434
2025-01-01 15:00:00,广东,output,48439.44518395879
2025-01-01 15:15:00,广东,output,41096.30799902072
2025-01-01 15:30:00,广东,output,46690.190513970825
2025-01-01 15:45:00,广东,output,47094.918816615755
2025-01-01 16:00:00,广东,output,46907.82341203929
2025-01-01 16:15:00,广东,output,50564.61632112984
2025-01-01 16:30:00,广东,output,42808.04996330407
2025-01-01 16:45:00,广东,output,50341.61446939961
2025-01-01 17:00:00,广东,output,46703.38608848536
2025-01-01 17:15:00,广东,output,38290.72609723045
2025-01-01 17:30:00,广东,output,48971.015983973
2025-01-01 17:45:00,广东,output,45683.61825411598
2025-01-01 18:00:00,广东,output,43536.87329166182
2025-01-01 18:15:00,广东,output,46656.169885187555
2025-01-01 18:30:00,广东,output,37289.690362867186
2025-01-01 18:45:00,广东,output,44655.38345311525
2025-01-01 19:00:00,广东,output,41709.249367271776
2025-01-01 19:15:00,广东,output,33447.34700884191
2025-01-01 19:30:00,广东,output,36338.95815028591
2025-01-01 19:45:00,广东,output,31549.162889961546
2025-01-01 20:00:00,广东,output,37348.43990442285
2025-01-01 20:15:00,广东,output,41061.73755031645
2025-01-01 20:30:00,广东,output,43191.343432602225
2025-01-01 20:45:00,广东,output,42000.459625533644
2025-01-01 21:00:00,广东,output,38461.56839385822
2025-01-01 21:15:00,广东,output,35494.26328442196
2025-01-01 21:30:00,广东,output,43704.47922400896
2025-01-01 21:45:00,广东,output,41481.78693973724
2025-01-01 22:00:00,广东,output,38483.2701317452
2025-01-01 22:15:00,广东,output,40940.97427690143
2025-01-01 22:30:00,广东,output,42619.98481027672
2025-01-01 22:45:00,广东,output,41679.92656160322
2025-01-01 23:00:00,广东,output,22410.979256140898
2025-01-01 23:15:00,广东,output,24880.88636721204
2025-01-01 23:30:00,广东,output,20839.378509473983
2025-01-01 23:45:00,广东,output,21627.690852413107
2025-01-02 00:00:00,广东,output,23816.21121287639
2025-01-02 00:15:00,广东,output,22317.53834839828
2025-01-02 00:30:00,广东,output,21172.10211061078
2025-01-02 00:45:00,广东,output,21573.65112309099
