dt,province,type,value
2025-01-01 00:00:00,广东,price,294.1481050018478
2025-01-01 00:15:00,广东,price,260.2193160765741
2025-01-01 00:30:00,广东,price,318.71946318531235
2025-01-01 00:45:00,广东,price,321.8986811128386
2025-01-01 01:00:00,广东,price,362.64074511009755
2025-01-01 01:15:00,广东,price,334.32477835415733
2025-01-01 01:30:00,广东,price,320.9074360286014
2025-01-01 01:45:00,广东,price,342.58169305782377
2025-01-01 02:00:00,广东,price,366.9964073063781
2025-01-01 02:15:00,广东,price,382.76562366272844
2025-01-01 02:30:00,广东,price,349.1074475386712
2025-01-01 02:45:00,广东,price,346.6884205486481
2025-01-01 03:00:00,广东,price,356.3997897234842
2025-01-01 03:15:00,广东,price,381.4599198531588
2025-01-01 03:30:00,广东,price,339.74544475403803
2025-01-01 03:45:00,广东,price,386.23242557590606
2025-01-01 04:00:00,广东,price,398.3592428157596
2025-01-01 04:15:00,广东,price,398.30394442761127
2025-01-01 04:30:00,广东,price,389.3670451084807
2025-01-01 04:45:00,广东,price,417.26210532906555
2025-01-01 05:00:00,广东,price,414.0324519374441
2025-01-01 05:15:00,广东,price,384.4510388013928
2025-01-01 05:30:00,广东,price,384.8090016349539
2025-01-01 05:45:00,广东,price,378.99910636061406
2025-01-01 06:00:00,广东,price,411.02566665551177
2025-01-01 06:15:00,广东,price,379.99722157520085
2025-01-01 06:30:00,广东,price,421.66784287166706
2025-01-01 06:45:00,广东,price,426.4594661669109
2025-01-01 07:00:00,广东,price,379.0122572498978
2025-01-01 07:15:00,广东,price,392.88161193704974
2025-01-01 07:30:00,广东,price,396.9250022561551
2025-01-01 07:45:00,广东,price,414.2722458383002
2025-01-01 08:00:00,广东,price,418.7894078906414
2025-01-01 08:15:00,广东,price,352.8926925210724
2025-01-01 08:30:00,广东,price,380.2389260279102
2025-01-01 08:45:00,广东,price,381.28220646723696
2025-01-01 09:00:00,广东,price,342.6972810209238
2025-01-01 09:15:00,广东,price,361.0084777325735
2025-01-01 09:30:00,广东,price,379.266057005667
2025-01-01 09:45:00,广东,price,365.13710006186363
2025-01-01 10:00:00,广东,price,319.1075766278517
2025-01-01 10:15:00,广东,price,407.4816539601983
2025-01-01 10:30:00,广东,price,355.3235573040836
2025-01-01 10:45:00,广东,price,352.2338826021335
2025-01-01 11:00:00,广东,price,303.9233772489112
2025-01-01 11:15:00,广东,price,331.09602774967766
2025-01-01 11:30:00,广东,price,322.59762882942226
2025-01-01 11:45:00,广东,price,288.111436255944
2025-01-01 12:00:00,广东,price,278.5948911997117
2025-01-01 12:15:00,广东,price,315.8985203534789
2025-01-01 12:30:00,广东,price,338.8803530000088
2025-01-01 12:45:00,广东,price,307.3433081008609
2025-01-01 13:00:00,广东,price,296.17976105561524
2025-01-01 13:15:00,广东,price,271.00298931808373
2025-01-01 13:30:00,广东,price,272.38717227613586
2025-01-01 13:45:00,广东,price,295.93767604213724
2025-01-01 14:00:00,广东,price,283.2555457835894
2025-01-01 14:15:00,广东,price,276.0219338693125
2025-01-01 14:30:00,广东,price,228.67273849230364
2025-01-01 14:45:00,广东,price,248.6608221936951
2025-01-01 15:00:00,广东,price,234.8398155708712
2025-01-01 15:15:00,广东,price,224.09576261119471
2025-01-01 15:30:00,广东,price,237.04647274965723
2025-01-01 15:45:00,广东,price,245.70085811472424
2025-01-01 16:00:00,广东,price,233.45365466065897
2025-01-01 16:15:00,广东,price,247.1148626659866
2025-01-01 16:30:00,广东,price,206.80863752705946
2025-01-01 16:45:00,广东,price,186.11679632476987
2025-01-01 17:00:00,广东,price,210.57210925138224
2025-01-01 17:15:00,广东,price,241.08363799478923
2025-01-01 17:30:00,广东,price,193.86790017201199
2025-01-01 17:45:00,广东,price,217.14435691236756
2025-01-01 18:00:00,广东,price,213.91491584945285
2025-01-01 18:15:00,广东,price,203.82884094689217
2025-01-01 18:30:00,广东,price,200.13849442087428
2025-01-01 18:45:00,广东,price,181.53141588557216
2025-01-01 19:00:00,广东,price,157.77417592268162
2025-01-01 19:15:00,广东,price,181.1704032378126
2025-01-01 19:30:00,广东,price,195.6013343888592
2025-01-01 19:45:00,广东,price,225.35587111954732
2025-01-01 20:00:00,广东,price,211.33489837452865
2025-01-01 20:15:00,广东,price,203.0169452431932
2025-01-01 20:30:00,广东,price,195.57775078248756
2025-01-01 20:45:00,广东,price,226.53357619174577
2025-01-01 21:00:00,广东,price,256.45646520995734
2025-01-01 21:15:00,广东,price,250.55803631869443
2025-01-01 21:30:00,广东,price,241.41231587651464
2025-01-01 21:45:00,广东,price,199.77706695368644
2025-01-01 22:00:00,广东,price,242.96651514312452
2025-01-01 22:15:00,广东,price,288.94608457779344
2025-01-01 22:30:00,广东,price,272.43900983830446
2025-01-01 22:45:00,广东,price,219.24993563530543
2025-01-01 23:00:00,广东,price,273.0062850257624
2025-01-01 23:15:00,广东,price,281.3800641429686
2025-01-01 23:30:00,广东,price,258.87492622922343
2025-01-01 23:45:00,广东,price,227.93401506157085
2025-01-02 00:00:00,广东,price,301.9764809003286
2025-01-02 00:15:00,广东,price,284.2448348475912
2025-01-02 00:30:00,广东,price,284.3231652183063
2025-01-02 00:45:00,广东,price,292.9063928013848
2025-01-02 01:00:00,广东,price,323.20838621715586
2025-01-02 01:15:00,广东,price,325.70024862833833
2025-01-02 01:30:00,广东,price,308.20210653181203
2025-01-02 01:45:00,广东,price,321.4777139175705
2025-01-02 02:00:00,广东,price,314.8515325919449
2025-01-02 02:15:00,广东,price,356.22078130736156
2025-01-02 02:30:00,广东,price,292.87449173317685
2025-01-02 02:45:00,广东,price,344.2101983913276
2025-01-02 03:00:00,广东,price,389.0944011921938
2025-01-02 03:15:00,广东,price,349.52386437315823
2025-01-02 03:30:00,广东,price,385.0392821918028
2025-01-02 03:45:00,广东,price,393.8253323610726
2025-01-02 04:00:00,广东,price,320.4445413284961
2025-01-02 04:15:00,广东,price,383.575282306929
2025-01-02 04:30:00,广东,price,329.08707182587835
2025-01-02 04:45:00,广东,price,384.23837146702493
2025-01-02 05:00:00,广东,price,396.4491584092803
2025-01-02 05:15:00,广东,price,346.9417029106901
2025-01-02 05:30:00,广东,price,435.0893498705041
2025-01-02 05:45:00,广东,price,402.3128987815993
2025-01-02 06:00:00,广东,price,383.0195313583593
2025-01-02 06:15:00,广东,price,429.3075885499704
2025-01-02 06:30:00,广东,price,364.08773558715365
2025-01-02 06:45:00,广东,price,375.41657932963363
2025-01-02 07:00:00,广东,price,350.6034721555088
2025-01-02 07:15:00,广东,price,432.6134865596935
2025-01-02 07:30:00,广东,price,403.2395100583469
2025-01-02 07:45:00,广东,price,409.78061842587675
2025-01-02 08:00:00,广东,price,392.6225650568134
2025-01-02 08:15:00,广东,price,398.0778956013356
2025-01-02 08:30:00,广东,price,388.1640946563637
2025-01-02 08:45:00,广东,price,392.02096723259274
2025-01-02 09:00:00,广东,price,372.86274684311377
2025-01-02 09:15:00,广东,price,358.5388420072692
2025-01-02 09:30:00,广东,price,369.77818281436134
2025-01-02 09:45:00,广东,price,376.1825695838883
2025-01-02 10:00:00,广东,price,352.2109823910426
2025-01-02 10:15:00,广东,price,320.4445578449337
2025-01-02 10:30:00,广东,price,323.10026662783184
2025-01-02 10:45:00,广东,price,371.6568286783278
2025-01-02 11:00:00,广东,price,319.7420235925841
2025-01-02 11:15:00,广东,price,337.5764114509709
2025-01-02 11:30:00,广东,price,304.0395063158042
2025-01-02 11:45:00,广东,price,296.41898697732154
2025-01-02 12:00:00,广东,price,283.12806774936575
2025-01-02 12:15:00,广东,price,295.54869858457175
2025-01-02 12:30:00,广东,price,286.6971940143118
2025-01-02 12:45:00,广东,price,325.87867046211426
2025-01-02 13:00:00,广东,price,277.70856152049714
2025-01-02 13:15:00,广东,price,311.09686786098507
2025-01-02 13:30:00,广东,price,282.20625857117625
2025-01-02 13:45:00,广东,price,225.86707913135172
2025-01-02 14:00:00,广东,price,271.1208321291711
2025-01-02 14:15:00,广东,price,219.80896755060093
2025-01-02 14:30:00,广东,price,254.61067334422683
2025-01-02 14:45:00,广东,price,234.50631884672313
2025-01-02 15:00:00,广东,price,272.14354257062905
2025-01-02 15:15:00,广东,price,258.08128042994804
2025-01-02 15:30:00,广东,price,214.45290904731013
2025-01-02 15:45:00,广东,price,226.74216851892308
2025-01-02 16:00:00,广东,price,218.2894210145405
2025-01-02 16:15:00,广东,price,230.66574105278835
2025-01-02 16:30:00,广东,price,213.9804978680564
2025-01-02 16:45:00,广东,price,192.89956163393882
2025-01-02 17:00:00,广东,price,189.05624458709212
2025-01-02 17:15:00,广东,price,203.31778144355735
2025-01-02 17:30:00,广东,price,228.096556946387
2025-01-02 17:45:00,广东,price,211.96417458181406
2025-01-02 18:00:00,广东,price,184.5317014676997
2025-01-02 18:15:00,广东,price,212.9674555541958
2025-01-02 18:30:00,广东,price,192.2603032224368
2025-01-02 18:45:00,广东,price,217.80816010373684
2025-01-02 19:00:00,广东,price,253.94762573766528
2025-01-02 19:15:00,广东,price,196.23088995222219
2025-01-02 19:30:00,广东,price,219.4395205656206
2025-01-02 19:45:00,广东,price,188.49955073033857
2025-01-02 20:00:00,广东,price,211.1521842777302
2025-01-02 20:15:00,广东,price,213.98870535899817
2025-01-02 20:30:00,广东,price,209.52378642066853
2025-01-02 20:45:00,广东,price,262.65773339705663
2025-01-02 21:00:00,广东,price,223.1574603877776
2025-01-02 21:15:00,广东,price,241.0263526570426
2025-01-02 21:30:00,广东,price,190.6875844948766
2025-01-02 21:45:00,广东,price,237.92925314873744
2025-01-02 22:00:00,广东,price,272.8410918470449
2025-01-02 22:15:00,广东,price,239.44805314841892
2025-01-02 22:30:00,广东,price,199.7955571791917
2025-01-02 22:45:00,广东,price,249.22696462345345
2025-01-02 23:00:00,广东,price,274.46177249745836
2025-01-02 23:15:00,广东,price,288.5995965046339
2025-01-02 23:30:00,广东,price,314.3361561980165
2025-01-02 23:45:00,广东,price,266.5170224777417
2025-01-03 00:00:00,广东,price,282.8742375267944
2025-01-03 00:15:00,广东,price,276.66164397257114
2025-01-03 00:30:00,广东,price,303.96157234063196
2025-01-03 00:45:00,广东,price,309.58708517637
2025-01-03 01:00:00,广东,price,314.9687966230004
2025-01-03 01:15:00,广东,price,341.45555942476784
2025-01-03 01:30:00,广东,price,335.18958604663555
2025-01-03 01:45:00,广东,price,326.74653830314986
2025-01-03 02:00:00,广东,price,331.9517055851175
2025-01-03 02:15:00,广东,price,340.36271369030555
2025-01-03 02:30:00,广东,price,301.4048940463491
2025-01-03 02:45:00,广东,price,354.71574128396065
2025-01-03 03:00:00,广东,price,371.23750389360345
2025-01-03 03:15:00,广东,price,374.4802579404445
